User-ID,ISBN,Book-Rating
277427,002542730x,10
277427,003008685x,8
277427,0060006641,10
277427,0060542128,7
277427,0061009059,9
277427,0062507109,8
277427,0132220598,8
277427,0140283374,6
277427,014039026x,8
277427,0140390715,7
277427,0141439742,8
277427,0152050167,10
277427,0201000822,10
277427,0310435706,10
277427,0312944691,8
277427,0316776963,8
277427,0345413903,10
277427,0375408886,9
277427,0375751513,9
277427,0380702843,8
277427,0380791978,9
277427,038081904x,9
277427,0385424736,9
277427,0385486804,9
277427,0385503857,9
277427,0385504209,8
277427,039304016x,8
277427,0394738136,7
277427,0394862147,7
277427,0399149562,7
277427,0399225064,10
277427,0399501487,9
277427,0425047962,8
277427,0425104338,9
277427,0425116840,8
277427,0425133516,9
277427,0425190749,7
277427,0440185327,5
277427,0440224764,7
277427,0440236061,8
277427,0440236738,9
277427,0440428130,8
277427,0441627404,10
277427,0446311677,5
277427,0446325503,8
277427,0446350982,9
277427,0446522384,8
277427,0446600415,10
277427,0446608890,10
277427,0446676640,8
277427,0451180739,8
277427,0451191153,8
277427,0451203593,10
277427,0452284449,6
277427,0471018732,10
277427,0517573636,9
277427,0523485964,8
277427,0552137030,8
277427,0553078925,8
277427,0553280368,9
277427,0553351672,10
277427,0553571656,10
277427,0553573926,10
277427,0553574566,9
277427,0553581929,9
277427,0670307254,8
277427,0671014420,5
277427,0671037692,8
277427,0671528904,8
277427,067172021x,8
277427,0671727079,9
277427,0671740504,8
277427,0671749897,8
277427,0671876821,8
277427,0679417648,10
277427,0679419853,10
277427,0679731148,9
277427,0679736042,5
277427,0684869098,8
277427,0715388185,8
277427,0718002067,8
277427,0736903054,8
277427,0740723367,9
277427,0743406176,8
277427,0743412028,9
277427,0743422082,9
277427,0743444477,9
277427,0743457943,8
277427,0767903382,10
277427,0785243038,7
277427,0786866845,10
277427,0800757483,8
277427,0802425488,9
277427,0803653719,8
277427,0805018956,10
277427,0810909650,5
277427,0811802981,10
277427,0811811409,10
277427,0812504798,8
277427,0812531353,8
277427,0836210263,10
277427,0836213076,10
277427,0836217691,10
277427,0836218515,10
277427,0836218817,10
277427,0836221192,10
277427,0836221311,8
277427,0836236688,10
277427,084233338x,10
277427,0842370668,10
277427,0843947888,7
277427,0849995892,10
277427,0871890917,10
277427,087605534x,8
277427,0877790426,10
277427,087784870x,10
277427,0887621112,6
277427,0890814082,10
277427,0890876517,10
277427,0890876967,6
277427,0897330536,8
277427,0898155843,9
277427,0898157803,10
277427,0898793912,9
277427,0898794080,7
277427,0898794544,8
277427,0898796601,5
277427,089879661x,5
277427,0898797055,5
277427,0912452161,5
277427,0932592007,8
277427,0964420805,7
277427,0965035214,9
277427,0967201519,7
277427,1400060265,10
277427,1559586893,10
277427,1562923668,10
277427,1564403963,9
277427,1565075722,10
277427,1568380593,10
277427,156865037x,7
277427,1572302399,10
277427,1572304510,10
277427,1576733343,10
277427,1576739597,7
277427,1581690606,7
277427,1852303468,7
277427,1930285000,8
277427,8251800811,7
278418,0006542808,5
278418,0060392185,8
278418,0140367209,8
278418,0140546499,6
278418,0146000579,5
278418,0146000706,7
278418,0146000994,5
278418,0146001109,8
278418,0192816071,7
278418,0307022196,5
278418,0310912520,10
278418,0312850131,4
278418,0312860862,6
278418,0312923651,6
278418,0312970234,7
278418,0321096983,7
278418,0345300742,8
278418,0345318617,7
278418,0345334590,5
278418,0345352459,7
278418,0345369335,7
278418,0345431464,3
278418,037302973x,6
278418,0373071388,5
278418,0373074646,6
278418,0373106939,4
278418,0373110138,4
278418,0373112572,5
278418,0373117868,5
278418,0373122772,5
278418,0373167318,7
278418,0373708335,6
278418,037383375x,7
278418,0375756817,8
278418,0380710870,8
278418,038097391x,5
278418,0385320329,4
278418,0394800168,10
278418,0394820371,8
278418,0395681863,9
278418,0399122400,4
278418,0399134883,8
278418,0425048543,5
278418,042513525x,5
278418,0425140032,5
278418,0425178102,7
278418,042518630x,7
278418,0439040825,8
278418,0440139791,10
278418,0440184622,7
278418,0440206561,5
278418,0440207622,7
278418,0440479002,9
278418,044056753x,5
278418,0440800129,9
278418,0440920833,9
278418,0441116183,5
278418,0441470734,2
278418,0445205636,5
278418,0446520608,5
278418,0446603368,6
278418,0449210324,5
278418,0451136683,5
278418,0451173392,6
278418,0515130389,8
278418,0515131229,8
278418,051788710x,4
278418,0553131834,9
278418,0553201344,3
278418,0553202790,9
278418,0553271571,10
278418,0553282700,5
278418,0553297988,6
278418,0553299352,5
278418,0553565605,3
278418,0590117653,9
278418,0590413848,9
278418,059046244x,7
278418,0590466178,5
278418,059088008x,4
278418,0671017128,5
278418,0671019961,9
278418,0671502522,7
278418,0671556843,6
278418,067160550x,7
278418,0671655450,6
278418,0671663755,3
278418,0671721623,5
278418,0671775715,6
278418,0684174707,5
278418,0684832860,6
278418,0684835614,8
278418,0689828896,7
278418,0786862572,5
278418,0800786092,6
278418,0812055721,6
278418,0812502076,5
278418,0812504321,5
278418,0812508084,5
278418,0812511840,5
278418,0812523466,5
278418,0812531558,7
278418,0812533232,7
278418,0812543181,5
278418,0821713655,4
278418,0821726595,6
278418,0848706978,5
278418,0865926433,5
278418,0871318156,8
278418,0880380845,8
278418,088184781x,4
278418,0886775981,5
278418,0890817596,8
278418,0898151899,9
278418,155882068x,5
278418,1569751544,3
278418,1570423008,5
2033,0007166311,8
2033,0030020786,7
2033,0060248025,10
2033,0060256664,10
2033,0060256737,10
2033,0060950536,10
2033,0061020419,7
2033,0061020427,6
2033,0061056278,10
2033,0061056286,8
2033,0061056294,9
2033,0061059773,7
2033,0099428385,8
2033,0133502813,10
2033,0140386645,8
2033,0142000663,10
2033,0142500135,7
2033,0192800493,6
2033,0201632721,10
2033,0312921098,8
2033,0316542377,9
2033,0316779032,10
2033,0316779059,10
2033,0345337662,5
2033,0345340426,10
2033,0375815260,10
2033,0380775123,10
2033,0399523308,6
2033,0439064864,9
2033,0439136350,9
2033,0439139597,9
2033,043935806x,9
2033,0441004997,7
2033,0451456718,10
2033,0451456734,10
2033,0451457781,8
2033,0451458028,10
2033,0451458508,10
2033,0451458990,10
2033,0451459423,10
2033,0452279089,10
2033,0471485527,10
2033,051513628x,6
2033,0553379534,10
2033,0553573136,8
2033,0590353403,9
2033,0595006035,2
2033,0595093019,2
2033,0671025554,10
2033,0671027441,10
2033,0671519751,10
2033,0671524313,6
2033,0671676253,10
2033,0688117619,7
2033,0688149790,8
2033,0688161162,10
2033,0698119509,7
2033,0716723980,7
2033,0716724022,7
2033,0764550039,7
2033,0765342987,10
2033,0765345048,10
2033,0786861320,8
2033,0786880007,8
2033,0812090381,9
2033,0812500865,7
2033,0812516850,10
2033,0812520157,10
2033,0812521358,10
2033,0812523040,10
2033,0812523679,10
2033,0812532554,10
2033,0812532597,8
2033,0812532619,8
2033,0812532635,8
2033,0812532961,8
2033,0812532988,8
2033,0812533313,10
2033,0812533550,10
2033,0812533577,9
2033,0812533658,10
2033,0812535219,7
2033,0812575717,10
2033,0836204387,10
2033,0836218256,9
2033,0836218787,10
2033,0836220889,10
2033,0836221362,10
2033,0874936225,9
2033,0875962432,10
2033,0880887575,5
2033,0882710583,8
2033,0886773776,10
2033,0886773784,10
2033,0886774004,10
2033,0886774012,9
2033,0886774144,10
2033,0886774543,10
2033,0886774632,10
2033,0886775035,10
2033,0886775043,5
2033,0886775167,8
2033,0886775205,9
2033,0886775493,9
2033,0886775639,8
2033,0886775876,10
2033,0886776120,8
2033,0886776589,9
2033,0886776619,9
2033,0886777011,8
